Date,Category,Amount,Description
2024-01-15,Food & Groceries,3500,Weekly grocery shopping at supermarket
2024-01-18,Transportation,1200,Metro card recharge and auto fare
2024-01-20,Entertainment,2800,Movie tickets and dinner with friends
2024-01-22,Bills & Utilities,4500,Electricity and internet bill payment
2024-01-25,Shopping,6200,New clothes and accessories purchase
2024-01-28,Healthcare,1800,Doctor consultation and medicines
2024-02-02,Food & Groceries,4200,Monthly grocery and household items
2024-02-05,Transportation,900,Bus fare and parking charges
2024-02-08,Entertainment,1500,Streaming subscription and book purchase
2024-02-12,Shopping,3200,Electronics accessories and phone case
